3M,0.02783781
6M,0.029692723
9M,0.03086372
12M,0.032020721
15M,0.032651559
18M,0.033007713
21M,0.033934964
24M,0.033342537
27M,0.032579856
30M,0.032099837
33M,0.031896974
36M,0.031916399
39M,0.031938458
42M,0.031914734
45M,0.031840288
48M,0.031731883
51M,0.031664443
54M,0.031662271
57M,0.031721477
60M,0.031832053
63M,0.031954138
66M,0.03208073
69M,0.03221759
72M,0.032349082
75M,0.032468431
78M,0.032577163
81M,0.032675094
84M,0.032761799
87M,0.032853632
90M,0.032953332
93M,0.033063705
96M,0.033178324
99M,0.03328047
102M,0.033375532
105M,0.033455169
108M,0.033523554
111M,0.033591986
114M,0.033665782
117M,0.033745775
120M,0.033825226
123M,0.033886912
126M,0.033935835
129M,0.033967923
132M,0.033984205
135M,0.033974609
138M,0.033953434
141M,0.033918498
144M,0.03386088
147M,0.033805623
150M,0.0337544
153M,0.033707242
156M,0.033661525
159M,0.033617218
162M,0.033578337
165M,0.033540468
168M,0.033505774
171M,0.033470719
174M,0.03344323
177M,0.033418177
180M,0.033393386
183M,0.03336441
186M,0.03333802
189M,0.033309109
192M,0.033276255
195M,0.033238494
198M,0.033203335
201M,0.033165555
204M,0.033126367
207M,0.033077547
210M,0.033031784
213M,0.032985061
216M,0.032934892
219M,0.032882527
222M,0.03282617
225M,0.032771211
228M,0.032712261
231M,0.032648167
234M,0.032587776
237M,0.032521509
240M,0.032454391
